timestamp,x,y,z,w
278599175390,-0.576782,0.140137,-0.125366,0.794983
278599183618,-0.576782,0.140137,-0.125366,0.794922
278599199003,-0.576843,0.140137,-0.125366,0.794922
278599227845,-0.576843,0.140137,-0.125366,0.794922
278599251202,-0.576843,0.140137,-0.125427,0.794922
278599257502,-0.576843,0.140076,-0.125427,0.794922
278599296090,-0.576843,0.140076,-0.125427,0.794922
278599311052,-0.576843,0.140076,-0.125427,0.794922
278599334024,-0.576843,0.140076,-0.125427,0.794922
278599348655,-0.576843,0.140076,-0.125427,0.794922
278599371698,-0.576843,0.140076,-0.125427,0.794922
278599377990,-0.576843,0.140076,-0.125427,0.794922
278599417285,-0.576843,0.140076,-0.125427,0.794922
278599422982,-0.576904,0.140076,-0.125427,0.794861
278599437405,-0.576904,0.140076,-0.125427,0.794861
278599475384,-0.576843,0.140015,-0.125427,0.794922
278599491628,-0.576904,0.140015,-0.125488,0.794861
278599507394,-0.576904,0.140015,-0.125488,0.794861
278599529908,-0.576904,0.140015,-0.125488,0.794861
278599542780,-0.576965,0.140015,-0.125488,0.794861
278599573493,-0.576965,0.139954,-0.125488,0.794861
278599579619,-0.576965,0.139954,-0.125488,0.794861
278599610412,-0.576965,0.139954,-0.125488,0.7948
278599626767,-0.576965,0.139954,-0.125549,0.7948
278599648012,-0.576965,0.139954,-0.125549,0.7948
278599664418,-0.577026,0.139893,-0.125549,0.7948
278599687854,-0.577026,0.139893,-0.125549,0.7948
278599699650,-0.577026,0.139893,-0.125549,0.7948
278599732036,-0.577026,0.139893,-0.12561,0.7948
278599746850,-0.577087,0.139893,-0.12561,0.794739
278599767902,-0.577087,0.139832,-0.12561,0.794739
278599785021,-0.577087,0.139832,-0.12561,0.794739
278599806863,-0.577087,0.139832,-0.12561,0.794739
278599819829,-0.577087,0.139771,-0.12561,0.794739
278599851834,-0.577087,0.139771,-0.125671,0.794739
278599866781,-0.577148,0.139771,-0.125671,0.794739
278599887876,-0.577148,0.139771,-0.125671,0.794739
278599904238,-0.577148,0.139771,-0.125671,0.794739
278599928243,-0.577148,0.139771,-0.125671,0.794739
278599941222,-0.577148,0.139771,-0.125671,0.794739
278599980563,-0.577148,0.139771,-0.125671,0.794678
278599988241,-0.577148,0.139771,-0.125671,0.794678
278600009254,-0.577209,0.139771,-0.125671,0.794678
278600022178,-0.577148,0.139709,-0.125671,0.794678
278600046714,-0.577148,0.139709,-0.125671,0.794678
278600061064,-0.577148,0.139709,-0.125671,0.794678
278600084294,-0.577209,0.139709,-0.125671,0.794678
278600105467,-0.577209,0.139709,-0.125732,0.794678
278600129375,-0.577209,0.139709,-0.125732,0.794678
278600143585,-0.577209,0.139709,-0.125732,0.794678
278600168206,-0.577209,0.139648,-0.125732,0.794678
278600181114,-0.577209,0.139648,-0.125732,0.794678
278600219922,-0.577087,0.139954,-0.125916,0.794678
278600225448,-0.577332,0.140442,-0.126038,0.794373
278600247844,-0.577393,0.14093,-0.126526,0.794189
278600262060,-0.577576,0.141541,-0.127319,0.793823
278600288418,-0.577637,0.142273,-0.127869,0.793518
278600301055,-0.577393,0.142883,-0.128601,0.793518
278600323531,-0.577576,0.143494,-0.129395,0.793152
278600345290,-0.577576,0.144104,-0.130188,0.792908
278600361555,-0.577271,0.144287,-0.130859,0.792969
278600383617,-0.577148,0.144226,-0.131287,0.79303
278600408212,-0.576843,0.143799,-0.131165,0.793335
278600421094,-0.57605,0.142639,-0.130554,0.794189
278600445094,-0.575562,0.141418,-0.130615,0.7948
278600481755,-0.576172,0.141296,-0.130676,0.794312
278600484227,-0.577148,0.141113,-0.131042,0.793579
278600503808,-0.578186,0.140991,-0.13208,0.792664
278600524796,-0.579041,0.140808,-0.133423,0.79187
278600542558,-0.579224,0.140808,-0.134033,0.791626
278600565510,-0.578308,0.140076,-0.13446,0.792358
278600601688,-0.577881,0.139648,-0.133911,0.792847
278600604132,-0.577087,0.138916,-0.133545,0.79364
278600625225,-0.577332,0.137878,-0.134033,0.793518
278600644656,-0.577942,0.137268,-0.134644,0.793091
278600661284,-0.578125,0.13678,-0.134888,0.79303
278600685569,-0.577759,0.136169,-0.134827,0.793396
278600721682,-0.577087,0.135925,-0.134216,0.794006
278600724096,-0.576111,0.135559,-0.133667,0.794861
278600745086,-0.574951,0.135315,-0.133484,0.795776
278600773332,-0.573792,0.135254,-0.133484,0.796631
278600795080,-0.572693,0.135437,-0.133728,0.797363
278600805179,-0.57074,0.135925,-0.13385,0.798645
278600842995,-0.568298,0.13623,-0.133484,0.800415
278600856777,-0.565674,0.136719,-0.13324,0.802185
278600862241,-0.563354,0.137512,-0.132996,0.803772
278600894091,-0.561829,0.138123,-0.133301,0.804626
278600902568,-0.561584,0.139099,-0.134277,0.804504
278600931846,-0.562073,0.140625,-0.135376,0.803711
278600961736,-0.563354,0.142273,-0.136292,0.802368
278600964128,-0.565491,0.143677,-0.136963,0.800476
278601000119,-0.568359,0.144531,-0.137695,0.798218
278601021794,-0.570679,0.145325,-0.138245,0.796326
278601024222,-0.572754,0.145935,-0.138245,0.794678
278601042158,-0.574707,0.145874,-0.137939,0.793335
278601072977,-0.575623,0.145691,-0.13739,0.792786
278601081141,-0.575928,0.145508,-0.136536,0.792786
278601120031,-0.575989,0.145264,-0.135498,0.792908
278601133196,-0.575989,0.144653,-0.134399,0.793274
